new_name,source,series_folder,original_file,page_idx
newdata__022_lets_take_an_in_depth_look_at_generation__p09.jpg,newdata,Let’s Take an In-depth Look at Generation Alpha,9.jpg,9
newdata__022_lets_take_an_in_depth_look_at_generation__p10.jpg,newdata,Let’s Take an In-depth Look at Generation Alpha,10.jpg,10
newdata__023_next_on_your_seoul_travel_bucket_list_wh__p01.jpg,newdata,"Next on your Seoul travel bucket list, what do you need for art tourism",1.jpg,1
newdata__023_next_on_your_seoul_travel_bucket_list_wh__p02.jpg,newdata,"Next on your Seoul travel bucket list, what do you need for art tourism",2.jpg,2
newdata__023_next_on_your_seoul_travel_bucket_list_wh__p03.jpg,newdata,"Next on your Seoul travel bucket list, what do you need for art tourism",3.jpg,3
newdata__023_next_on_your_seoul_travel_bucket_list_wh__p04.jpg,newdata,"Next on your Seoul travel bucket list, what do you need for art tourism",4.jpg,4
newdata__023_next_on_your_seoul_travel_bucket_list_wh__p05.jpg,newdata,"Next on your Seoul travel bucket list, what do you need for art tourism",5.jpg,5
newdata__023_next_on_your_seoul_travel_bucket_list_wh__p06.jpg,newdata,"Next on your Seoul travel bucket list, what do you need for art tourism",6.jpg,6
newdata__023_next_on_your_seoul_travel_bucket_list_wh__p07.jpg,newdata,"Next on your Seoul travel bucket list, what do you need for art tourism",7.jpg,7
newdata__023_next_on_your_seoul_travel_bucket_list_wh__p08.jpg,newdata,"Next on your Seoul travel bucket list, what do you need for art tourism",8.jpg,8
newdata__024_old_man_as_uncomfortable_walk_around_the__p01.jpg,newdata,Old man A’s uncomfortable walk around the neighborhood,1.jpg,1
newdata__024_old_man_as_uncomfortable_walk_around_the__p02.jpg,newdata,Old man A’s uncomfortable walk around the neighborhood,2.jpg,2
newdata__024_old_man_as_uncomfortable_walk_around_the__p03.jpg,newdata,Old man A’s uncomfortable walk around the neighborhood,3.jpg,3
newdata__024_old_man_as_uncomfortable_walk_around_the__p04.jpg,newdata,Old man A’s uncomfortable walk around the neighborhood,4.jpg,4
newdata__024_old_man_as_uncomfortable_walk_around_the__p05.jpg,newdata,Old man A’s uncomfortable walk around the neighborhood,5.jpg,5
newdata__024_old_man_as_uncomfortable_walk_around_the__p06.jpg,newdata,Old man A’s uncomfortable walk around the neighborhood,6.jpg,6
newdata__024_old_man_as_uncomfortable_walk_around_the__p07.jpg,newdata,Old man A’s uncomfortable walk around the neighborhood,7.jpg,7
newdata__024_old_man_as_uncomfortable_walk_around_the__p08.jpg,newdata,Old man A’s uncomfortable walk around the neighborhood,8.jpg,8
newdata__025_one_in_two_seoul_citizens_has_tried_seco__p01.jpg,newdata,One in two Seoul citizens has tried second-hand goods,1.jpg,1
newdata__025_one_in_two_seoul_citizens_has_tried_seco__p02.jpg,newdata,One in two Seoul citizens has tried second-hand goods,2.jpg,2
newdata__025_one_in_two_seoul_citizens_has_tried_seco__p03.jpg,newdata,One in two Seoul citizens has tried second-hand goods,3.jpg,3
newdata__025_one_in_two_seoul_citizens_has_tried_seco__p04.jpg,newdata,One in two Seoul citizens has tried second-hand goods,4.jpg,4
newdata__025_one_in_two_seoul_citizens_has_tried_seco__p05.jpg,newdata,One in two Seoul citizens has tried second-hand goods,5.jpg,5
newdata__025_one_in_two_seoul_citizens_has_tried_seco__p06.jpg,newdata,One in two Seoul citizens has tried second-hand goods,6.jpg,6
newdata__025_one_in_two_seoul_citizens_has_tried_seco__p07.jpg,newdata,One in two Seoul citizens has tried second-hand goods,7.jpg,7
newdata__025_one_in_two_seoul_citizens_has_tried_seco__p08.jpg,newdata,One in two Seoul citizens has tried second-hand goods,8.jpg,8
newdata__025_one_in_two_seoul_citizens_has_tried_seco__p09.jpg,newdata,One in two Seoul citizens has tried second-hand goods,9.jpg,9
newdata__025_one_in_two_seoul_citizens_has_tried_seco__p10.jpg,newdata,One in two Seoul citizens has tried second-hand goods,10.jpg,10
newdata__026_paving_the_path_towards_a_decent_and_equ__p01.jpg,newdata,Paving the Path towards a Decent and Equitable Society,1.jpg,1
newdata__026_paving_the_path_towards_a_decent_and_equ__p02.jpg,newdata,Paving the Path towards a Decent and Equitable Society,2.jpg,2
newdata__026_paving_the_path_towards_a_decent_and_equ__p03.jpg,newdata,Paving the Path towards a Decent and Equitable Society,3.jpg,3
newdata__026_paving_the_path_towards_a_decent_and_equ__p04.jpg,newdata,Paving the Path towards a Decent and Equitable Society,4.jpg,4
newdata__026_paving_the_path_towards_a_decent_and_equ__p05.jpg,newdata,Paving the Path towards a Decent and Equitable Society,5.jpg,5
newdata__026_paving_the_path_towards_a_decent_and_equ__p06.jpg,newdata,Paving the Path towards a Decent and Equitable Society,6.jpg,6
newdata__026_paving_the_path_towards_a_decent_and_equ__p07.jpg,newdata,Paving the Path towards a Decent and Equitable Society,7.jpg,7
newdata__026_paving_the_path_towards_a_decent_and_equ__p08.jpg,newdata,Paving the Path towards a Decent and Equitable Society,8.jpg,8
newdata__027_pay_attention_to_seoul_the_center_of_the__p01.jpg,newdata,"Pay attention to Seoul, the center of the global AI ecosystem",1.jpg,1
newdata__027_pay_attention_to_seoul_the_center_of_the__p02.jpg,newdata,"Pay attention to Seoul, the center of the global AI ecosystem",2.jpg,2
newdata__027_pay_attention_to_seoul_the_center_of_the__p03.jpg,newdata,"Pay attention to Seoul, the center of the global AI ecosystem",3.jpg,3
newdata__027_pay_attention_to_seoul_the_center_of_the__p04.jpg,newdata,"Pay attention to Seoul, the center of the global AI ecosystem",4.jpg,4
newdata__027_pay_attention_to_seoul_the_center_of_the__p05.jpg,newdata,"Pay attention to Seoul, the center of the global AI ecosystem",5.jpg,5
newdata__027_pay_attention_to_seoul_the_center_of_the__p06.jpg,newdata,"Pay attention to Seoul, the center of the global AI ecosystem",6.jpg,6
newdata__027_pay_attention_to_seoul_the_center_of_the__p07.jpg,newdata,"Pay attention to Seoul, the center of the global AI ecosystem",7.jpg,7
newdata__027_pay_attention_to_seoul_the_center_of_the__p08.jpg,newdata,"Pay attention to Seoul, the center of the global AI ecosystem",8.jpg,8
newdata__027_pay_attention_to_seoul_the_center_of_the__p09.jpg,newdata,"Pay attention to Seoul, the center of the global AI ecosystem",9.jpg,9
newdata__028_real_time_deep_learning_analysis_to_secu__p01.jpg,newdata,Real-Time Deep Learning Analysis to Secure the Golden Time for Flood Response,1.jpg,1
newdata__028_real_time_deep_learning_analysis_to_secu__p02.jpg,newdata,Real-Time Deep Learning Analysis to Secure the Golden Time for Flood Response,2.jpg,2
newdata__028_real_time_deep_learning_analysis_to_secu__p03.jpg,newdata,Real-Time Deep Learning Analysis to Secure the Golden Time for Flood Response,3.jpg,3
newdata__028_real_time_deep_learning_analysis_to_secu__p04.jpg,newdata,Real-Time Deep Learning Analysis to Secure the Golden Time for Flood Response,4.jpg,4
newdata__028_real_time_deep_learning_analysis_to_secu__p05.jpg,newdata,Real-Time Deep Learning Analysis to Secure the Golden Time for Flood Response,5.jpg,5
newdata__028_real_time_deep_learning_analysis_to_secu__p06.jpg,newdata,Real-Time Deep Learning Analysis to Secure the Golden Time for Flood Response,6.jpg,6
newdata__028_real_time_deep_learning_analysis_to_secu__p07.jpg,newdata,Real-Time Deep Learning Analysis to Secure the Golden Time for Flood Response,7.jpg,7
newdata__029_recording_the_50_years_of_seouls_urban_r__p01.jpg,newdata,Recording the 50 years of Seoul’s urban redevelopment policy,1.jpg,1
newdata__029_recording_the_50_years_of_seouls_urban_r__p02.jpg,newdata,Recording the 50 years of Seoul’s urban redevelopment policy,2.jpg,2
newdata__029_recording_the_50_years_of_seouls_urban_r__p03.jpg,newdata,Recording the 50 years of Seoul’s urban redevelopment policy,3.jpg,3
newdata__029_recording_the_50_years_of_seouls_urban_r__p04.jpg,newdata,Recording the 50 years of Seoul’s urban redevelopment policy,4.jpg,4
newdata__029_recording_the_50_years_of_seouls_urban_r__p05.jpg,newdata,Recording the 50 years of Seoul’s urban redevelopment policy,5.jpg,5
newdata__029_recording_the_50_years_of_seouls_urban_r__p06.jpg,newdata,Recording the 50 years of Seoul’s urban redevelopment policy,6.jpg,6
newdata__030_seoul_research_institute_30th_anniversar__p01.jpg,newdata,Seoul Research Institute 30th Anniversary Series ① 30 Years of Urban Society Research “From IMF to Corona Pandemic...”,1.jpg,1
newdata__030_seoul_research_institute_30th_anniversar__p02.jpg,newdata,Seoul Research Institute 30th Anniversary Series ① 30 Years of Urban Society Research “From IMF to Corona Pandemic...”,2.jpg,2
newdata__030_seoul_research_institute_30th_anniversar__p03.jpg,newdata,Seoul Research Institute 30th Anniversary Series ① 30 Years of Urban Society Research “From IMF to Corona Pandemic...”,3.jpg,3
newdata__030_seoul_research_institute_30th_anniversar__p04.jpg,newdata,Seoul Research Institute 30th Anniversary Series ① 30 Years of Urban Society Research “From IMF to Corona Pandemic...”,4.jpg,4
newdata__030_seoul_research_institute_30th_anniversar__p05.jpg,newdata,Seoul Research Institute 30th Anniversary Series ① 30 Years of Urban Society Research “From IMF to Corona Pandemic...”,5.jpg,5
newdata__030_seoul_research_institute_30th_anniversar__p06.jpg,newdata,Seoul Research Institute 30th Anniversary Series ① 30 Years of Urban Society Research “From IMF to Corona Pandemic...”,6.jpg,6
newdata__030_seoul_research_institute_30th_anniversar__p07.jpg,newdata,Seoul Research Institute 30th Anniversary Series ① 30 Years of Urban Society Research “From IMF to Corona Pandemic...”,7.jpg,7
newdata__030_seoul_research_institute_30th_anniversar__p08.jpg,newdata,Seoul Research Institute 30th Anniversary Series ① 30 Years of Urban Society Research “From IMF to Corona Pandemic...”,8.jpg,8
newdata__030_seoul_research_institute_30th_anniversar__p09.jpg,newdata,Seoul Research Institute 30th Anniversary Series ① 30 Years of Urban Society Research “From IMF to Corona Pandemic...”,9.jpg,9
newdata__030_seoul_research_institute_30th_anniversar__p10.jpg,newdata,Seoul Research Institute 30th Anniversary Series ① 30 Years of Urban Society Research “From IMF to Corona Pandemic...”,10.jpg,10
newdata__031_seoul_research_institute_30th_anniversar__p01.jpg,newdata,Seoul Research Institute 30th Anniversary Series ② 30 Years of Industrial and Economic Research “Passing the Manufacturing Era and Standing in the Center of the 4th Industrial Revolution”,1.jpg,1
newdata__031_seoul_research_institute_30th_anniversar__p02.jpg,newdata,Seoul Research Institute 30th Anniversary Series ② 30 Years of Industrial and Economic Research “Passing the Manufacturing Era and Standing in the Center of the 4th Industrial Revolution”,2.jpg,2
newdata__031_seoul_research_institute_30th_anniversar__p03.jpg,newdata,Seoul Research Institute 30th Anniversary Series ② 30 Years of Industrial and Economic Research “Passing the Manufacturing Era and Standing in the Center of the 4th Industrial Revolution”,3.jpg,3
newdata__031_seoul_research_institute_30th_anniversar__p04.jpg,newdata,Seoul Research Institute 30th Anniversary Series ② 30 Years of Industrial and Economic Research “Passing the Manufacturing Era and Standing in the Center of the 4th Industrial Revolution”,4.jpg,4
newdata__031_seoul_research_institute_30th_anniversar__p05.jpg,newdata,Seoul Research Institute 30th Anniversary Series ② 30 Years of Industrial and Economic Research “Passing the Manufacturing Era and Standing in the Center of the 4th Industrial Revolution”,5.jpg,5
newdata__031_seoul_research_institute_30th_anniversar__p06.jpg,newdata,Seoul Research Institute 30th Anniversary Series ② 30 Years of Industrial and Economic Research “Passing the Manufacturing Era and Standing in the Center of the 4th Industrial Revolution”,6.jpg,6
newdata__031_seoul_research_institute_30th_anniversar__p07.jpg,newdata,Seoul Research Institute 30th Anniversary Series ② 30 Years of Industrial and Economic Research “Passing the Manufacturing Era and Standing in the Center of the 4th Industrial Revolution”,7.jpg,7
newdata__031_seoul_research_institute_30th_anniversar__p08.jpg,newdata,Seoul Research Institute 30th Anniversary Series ② 30 Years of Industrial and Economic Research “Passing the Manufacturing Era and Standing in the Center of the 4th Industrial Revolution”,8.jpg,8
newdata__031_seoul_research_institute_30th_anniversar__p09.jpg,newdata,Seoul Research Institute 30th Anniversary Series ② 30 Years of Industrial and Economic Research “Passing the Manufacturing Era and Standing in the Center of the 4th Industrial Revolution”,9.jpg,9
newdata__031_seoul_research_institute_30th_anniversar__p10.jpg,newdata,Seoul Research Institute 30th Anniversary Series ② 30 Years of Industrial and Economic Research “Passing the Manufacturing Era and Standing in the Center of the 4th Industrial Revolution”,10.jpg,10
newdata__032_seoul_research_institute_30th_anniversar__p01.jpg,newdata,Seoul Research Institute 30th Anniversary Series ③ 30 Years of Urban Management Research “How was the model for measuring public officials’ integrity created”,1.jpg,1
newdata__032_seoul_research_institute_30th_anniversar__p02.jpg,newdata,Seoul Research Institute 30th Anniversary Series ③ 30 Years of Urban Management Research “How was the model for measuring public officials’ integrity created”,2.jpg,2
newdata__032_seoul_research_institute_30th_anniversar__p03.jpg,newdata,Seoul Research Institute 30th Anniversary Series ③ 30 Years of Urban Management Research “How was the model for measuring public officials’ integrity created”,3.jpg,3
newdata__032_seoul_research_institute_30th_anniversar__p04.jpg,newdata,Seoul Research Institute 30th Anniversary Series ③ 30 Years of Urban Management Research “How was the model for measuring public officials’ integrity created”,4.jpg,4
newdata__032_seoul_research_institute_30th_anniversar__p05.jpg,newdata,Seoul Research Institute 30th Anniversary Series ③ 30 Years of Urban Management Research “How was the model for measuring public officials’ integrity created”,5.jpg,5
newdata__032_seoul_research_institute_30th_anniversar__p06.jpg,newdata,Seoul Research Institute 30th Anniversary Series ③ 30 Years of Urban Management Research “How was the model for measuring public officials’ integrity created”,6.jpg,6
newdata__032_seoul_research_institute_30th_anniversar__p07.jpg,newdata,Seoul Research Institute 30th Anniversary Series ③ 30 Years of Urban Management Research “How was the model for measuring public officials’ integrity created”,7.jpg,7
newdata__032_seoul_research_institute_30th_anniversar__p08.jpg,newdata,Seoul Research Institute 30th Anniversary Series ③ 30 Years of Urban Management Research “How was the model for measuring public officials’ integrity created”,8.jpg,8
newdata__032_seoul_research_institute_30th_anniversar__p09.jpg,newdata,Seoul Research Institute 30th Anniversary Series ③ 30 Years of Urban Management Research “How was the model for measuring public officials’ integrity created”,9.jpg,9
newdata__032_seoul_research_institute_30th_anniversar__p10.jpg,newdata,Seoul Research Institute 30th Anniversary Series ③ 30 Years of Urban Management Research “How was the model for measuring public officials’ integrity created”,10.jpg,10
newdata__033_seoul_greenhouse_gas_monitoring_advanced__p01.jpg,newdata,Seoul greenhouse gas monitoring advanced through remote sensing,1.jpg,1
newdata__033_seoul_greenhouse_gas_monitoring_advanced__p02.jpg,newdata,Seoul greenhouse gas monitoring advanced through remote sensing,2.jpg,2
newdata__033_seoul_greenhouse_gas_monitoring_advanced__p03.jpg,newdata,Seoul greenhouse gas monitoring advanced through remote sensing,3.jpg,3
newdata__033_seoul_greenhouse_gas_monitoring_advanced__p04.jpg,newdata,Seoul greenhouse gas monitoring advanced through remote sensing,4.jpg,4
newdata__033_seoul_greenhouse_gas_monitoring_advanced__p05.jpg,newdata,Seoul greenhouse gas monitoring advanced through remote sensing,5.jpg,5
newdata__033_seoul_greenhouse_gas_monitoring_advanced__p06.jpg,newdata,Seoul greenhouse gas monitoring advanced through remote sensing,6.jpg,6
newdata__033_seoul_greenhouse_gas_monitoring_advanced__p07.jpg,newdata,Seoul greenhouse gas monitoring advanced through remote sensing,7.jpg,7
newdata__034_seoul_webtoon_writer_class__p01.jpg,newdata,Seoul webtoon writer Class,1.jpg,1
newdata__034_seoul_webtoon_writer_class__p02.jpg,newdata,Seoul webtoon writer Class,2.jpg,2
newdata__034_seoul_webtoon_writer_class__p03.jpg,newdata,Seoul webtoon writer Class,3.jpg,3
newdata__034_seoul_webtoon_writer_class__p04.jpg,newdata,Seoul webtoon writer Class,4.jpg,4
newdata__034_seoul_webtoon_writer_class__p05.jpg,newdata,Seoul webtoon writer Class,5.jpg,5
newdata__034_seoul_webtoon_writer_class__p06.jpg,newdata,Seoul webtoon writer Class,6.jpg,6
newdata__034_seoul_webtoon_writer_class__p07.jpg,newdata,Seoul webtoon writer Class,7.jpg,7
newdata__034_seoul_webtoon_writer_class__p08.jpg,newdata,Seoul webtoon writer Class,8.jpg,8
newdata__034_seoul_webtoon_writer_class__p09.jpg,newdata,Seoul webtoon writer Class,9.jpg,9
newdata__034_seoul_webtoon_writer_class__p10.jpg,newdata,Seoul webtoon writer Class,10.jpg,10
newdata__035_seoul_s_population_decline_concerns_and___p01.jpg,newdata,"Seoul's population decline, concerns and response directions for the future",1.jpg,1
newdata__035_seoul_s_population_decline_concerns_and___p02.jpg,newdata,"Seoul's population decline, concerns and response directions for the future",2.jpg,2
newdata__035_seoul_s_population_decline_concerns_and___p03.jpg,newdata,"Seoul's population decline, concerns and response directions for the future",3.jpg,3
newdata__035_seoul_s_population_decline_concerns_and___p04.jpg,newdata,"Seoul's population decline, concerns and response directions for the future",4.jpg,4
newdata__035_seoul_s_population_decline_concerns_and___p05.jpg,newdata,"Seoul's population decline, concerns and response directions for the future",5.jpg,5
newdata__035_seoul_s_population_decline_concerns_and___p06.jpg,newdata,"Seoul's population decline, concerns and response directions for the future",6.jpg,6
newdata__035_seoul_s_population_decline_concerns_and___p07.jpg,newdata,"Seoul's population decline, concerns and response directions for the future",7.jpg,7
newdata__035_seoul_s_population_decline_concerns_and___p08.jpg,newdata,"Seoul's population decline, concerns and response directions for the future",8.jpg,8
newdata__035_seoul_s_population_decline_concerns_and___p09.jpg,newdata,"Seoul's population decline, concerns and response directions for the future",9.jpg,9
newdata__036_seoul_a_walking_city_how_should_we_respo__p01.jpg,newdata,"Seoul, a walking city, how should we respond to smombie",1.jpg,1
newdata__036_seoul_a_walking_city_how_should_we_respo__p02.jpg,newdata,"Seoul, a walking city, how should we respond to smombie",2.jpg,2
newdata__036_seoul_a_walking_city_how_should_we_respo__p03.jpg,newdata,"Seoul, a walking city, how should we respond to smombie",3.jpg,3
newdata__036_seoul_a_walking_city_how_should_we_respo__p04.jpg,newdata,"Seoul, a walking city, how should we respond to smombie",4.jpg,4
newdata__036_seoul_a_walking_city_how_should_we_respo__p05.jpg,newdata,"Seoul, a walking city, how should we respond to smombie",5.jpg,5
newdata__036_seoul_a_walking_city_how_should_we_respo__p06.jpg,newdata,"Seoul, a walking city, how should we respond to smombie",6.jpg,6
newdata__037_seouls_carbon_neutrality_in_2050_predict__p01.jpg,newdata,Seoul’s carbon neutrality in 2050 predicted using the ICE model,1.jpg,1
newdata__037_seouls_carbon_neutrality_in_2050_predict__p02.jpg,newdata,Seoul’s carbon neutrality in 2050 predicted using the ICE model,2.jpg,2
newdata__037_seouls_carbon_neutrality_in_2050_predict__p03.jpg,newdata,Seoul’s carbon neutrality in 2050 predicted using the ICE model,3.jpg,3
newdata__037_seouls_carbon_neutrality_in_2050_predict__p04.jpg,newdata,Seoul’s carbon neutrality in 2050 predicted using the ICE model,4.jpg,4
newdata__037_seouls_carbon_neutrality_in_2050_predict__p05.jpg,newdata,Seoul’s carbon neutrality in 2050 predicted using the ICE model,5.jpg,5
newdata__037_seouls_carbon_neutrality_in_2050_predict__p06.jpg,newdata,Seoul’s carbon neutrality in 2050 predicted using the ICE model,6.jpg,6
newdata__037_seouls_carbon_neutrality_in_2050_predict__p07.jpg,newdata,Seoul’s carbon neutrality in 2050 predicted using the ICE model,7.jpg,7
newdata__037_seouls_carbon_neutrality_in_2050_predict__p08.jpg,newdata,Seoul’s carbon neutrality in 2050 predicted using the ICE model,8.jpg,8
newdata__037_seouls_carbon_neutrality_in_2050_predict__p09.jpg,newdata,Seoul’s carbon neutrality in 2050 predicted using the ICE model,9.jpg,9
newdata__038_shall_we_learn_about_seoul_public_hanok__p01.jpg,newdata,Shall we learn about Seoul Public Hanok,1.jpg,1
newdata__038_shall_we_learn_about_seoul_public_hanok__p02.jpg,newdata,Shall we learn about Seoul Public Hanok,2.jpg,2
newdata__038_shall_we_learn_about_seoul_public_hanok__p03.jpg,newdata,Shall we learn about Seoul Public Hanok,3.jpg,3
newdata__038_shall_we_learn_about_seoul_public_hanok__p04.jpg,newdata,Shall we learn about Seoul Public Hanok,4.jpg,4
newdata__038_shall_we_learn_about_seoul_public_hanok__p05.jpg,newdata,Shall we learn about Seoul Public Hanok,5.jpg,5
newdata__038_shall_we_learn_about_seoul_public_hanok__p06.jpg,newdata,Shall we learn about Seoul Public Hanok,6.jpg,6
newdata__038_shall_we_learn_about_seoul_public_hanok__p07.jpg,newdata,Shall we learn about Seoul Public Hanok,7.jpg,7
newdata__038_shall_we_learn_about_seoul_public_hanok__p08.jpg,newdata,Shall we learn about Seoul Public Hanok,8.jpg,8
newdata__038_shall_we_learn_about_seoul_public_hanok__p09.jpg,newdata,Shall we learn about Seoul Public Hanok,9.jpg,9
newdata__039_should_we_add_rice_and_milk_to_our_hyper__p01.jpg,newdata,Should we add ‘rice’ and ‘milk’ to our hyperlipidemia diet Should I take it out (Eating habits according to chronic diseases),1.jpg,1
newdata__039_should_we_add_rice_and_milk_to_our_hyper__p02.jpg,newdata,Should we add ‘rice’ and ‘milk’ to our hyperlipidemia diet Should I take it out (Eating habits according to chronic diseases),2.jpg,2
newdata__039_should_we_add_rice_and_milk_to_our_hyper__p03.jpg,newdata,Should we add ‘rice’ and ‘milk’ to our hyperlipidemia diet Should I take it out (Eating habits according to chronic diseases),3.jpg,3
newdata__039_should_we_add_rice_and_milk_to_our_hyper__p04.jpg,newdata,Should we add ‘rice’ and ‘milk’ to our hyperlipidemia diet Should I take it out (Eating habits according to chronic diseases),4.jpg,4
newdata__039_should_we_add_rice_and_milk_to_our_hyper__p05.jpg,newdata,Should we add ‘rice’ and ‘milk’ to our hyperlipidemia diet Should I take it out (Eating habits according to chronic diseases),5.jpg,5
newdata__039_should_we_add_rice_and_milk_to_our_hyper__p06.jpg,newdata,Should we add ‘rice’ and ‘milk’ to our hyperlipidemia diet Should I take it out (Eating habits according to chronic diseases),6.jpg,6
newdata__039_should_we_add_rice_and_milk_to_our_hyper__p07.jpg,newdata,Should we add ‘rice’ and ‘milk’ to our hyperlipidemia diet Should I take it out (Eating habits according to chronic diseases),7.jpg,7
newdata__039_should_we_add_rice_and_milk_to_our_hyper__p08.jpg,newdata,Should we add ‘rice’ and ‘milk’ to our hyperlipidemia diet Should I take it out (Eating habits according to chronic diseases),8.jpg,8
newdata__039_should_we_add_rice_and_milk_to_our_hyper__p09.jpg,newdata,Should we add ‘rice’ and ‘milk’ to our hyperlipidemia diet Should I take it out (Eating habits according to chronic diseases),9.jpg,9
newdata__039_should_we_add_rice_and_milk_to_our_hyper__p10.jpg,newdata,Should we add ‘rice’ and ‘milk’ to our hyperlipidemia diet Should I take it out (Eating habits according to chronic diseases),10.jpg,10
newdata__040_smart_city_technologies_todays_game_chan__p01.jpg,newdata,Smart City Technologies – Today’s Game Changer (Smart city and related industries in Seoul),1.jpg,1
newdata__040_smart_city_technologies_todays_game_chan__p02.jpg,newdata,Smart City Technologies – Today’s Game Changer (Smart city and related industries in Seoul),2.jpg,2
newdata__040_smart_city_technologies_todays_game_chan__p03.jpg,newdata,Smart City Technologies – Today’s Game Changer (Smart city and related industries in Seoul),3.jpg,3
newdata__040_smart_city_technologies_todays_game_chan__p04.jpg,newdata,Smart City Technologies – Today’s Game Changer (Smart city and related industries in Seoul),4.jpg,4
newdata__040_smart_city_technologies_todays_game_chan__p05.jpg,newdata,Smart City Technologies – Today’s Game Changer (Smart city and related industries in Seoul),5.jpg,5
newdata__040_smart_city_technologies_todays_game_chan__p06.jpg,newdata,Smart City Technologies – Today’s Game Changer (Smart city and related industries in Seoul),6.jpg,6
newdata__040_smart_city_technologies_todays_game_chan__p07.jpg,newdata,Smart City Technologies – Today’s Game Changer (Smart city and related industries in Seoul),7.jpg,7
newdata__040_smart_city_technologies_todays_game_chan__p08.jpg,newdata,Smart City Technologies – Today’s Game Changer (Smart city and related industries in Seoul),8.jpg,8
newdata__040_smart_city_technologies_todays_game_chan__p09.jpg,newdata,Smart City Technologies – Today’s Game Changer (Smart city and related industries in Seoul),9.jpg,9
newdata__040_smart_city_technologies_todays_game_chan__p10.jpg,newdata,Smart City Technologies – Today’s Game Changer (Smart city and related industries in Seoul),10.jpg,10
newdata__041_so_that_the_seoul_youth_who_have_stopped__p01.jpg,newdata,So that the Seoul youth who have stopped can start again,1.jpg,1
newdata__041_so_that_the_seoul_youth_who_have_stopped__p02.jpg,newdata,So that the Seoul youth who have stopped can start again,2.jpg,2
newdata__041_so_that_the_seoul_youth_who_have_stopped__p03.jpg,newdata,So that the Seoul youth who have stopped can start again,3.jpg,3
newdata__041_so_that_the_seoul_youth_who_have_stopped__p04.jpg,newdata,So that the Seoul youth who have stopped can start again,4.jpg,4
newdata__041_so_that_the_seoul_youth_who_have_stopped__p05.jpg,newdata,So that the Seoul youth who have stopped can start again,5.jpg,5
newdata__041_so_that_the_seoul_youth_who_have_stopped__p06.jpg,newdata,So that the Seoul youth who have stopped can start again,6.jpg,6
newdata__041_so_that_the_seoul_youth_who_have_stopped__p07.jpg,newdata,So that the Seoul youth who have stopped can start again,7.jpg,7
newdata__041_so_that_the_seoul_youth_who_have_stopped__p08.jpg,newdata,So that the Seoul youth who have stopped can start again,8.jpg,8
newdata__041_so_that_the_seoul_youth_who_have_stopped__p09.jpg,newdata,So that the Seoul youth who have stopped can start again,9.jpg,9
newdata__042_the_projected_working_age_population_shr__p01.jpg,newdata,The Projected Working-Age Population Shrink in Seoul,1.jpg,1
newdata__042_the_projected_working_age_population_shr__p02.jpg,newdata,The Projected Working-Age Population Shrink in Seoul,2.jpg,2
newdata__042_the_projected_working_age_population_shr__p03.jpg,newdata,The Projected Working-Age Population Shrink in Seoul,3.jpg,3
newdata__042_the_projected_working_age_population_shr__p04.jpg,newdata,The Projected Working-Age Population Shrink in Seoul,4.jpg,4
newdata__042_the_projected_working_age_population_shr__p05.jpg,newdata,The Projected Working-Age Population Shrink in Seoul,5.jpg,5
newdata__042_the_projected_working_age_population_shr__p06.jpg,newdata,The Projected Working-Age Population Shrink in Seoul,6.jpg,6
newdata__042_the_projected_working_age_population_shr__p07.jpg,newdata,The Projected Working-Age Population Shrink in Seoul,7.jpg,7
newdata__042_the_projected_working_age_population_shr__p08.jpg,newdata,The Projected Working-Age Population Shrink in Seoul,8.jpg,8
newdata__043_the_deeper_we_go_the_more_tightly_we_des__p01.jpg,newdata,"The deeper we go, the more tightly we design the safety of underground Seoul",1.jpg,1
newdata__043_the_deeper_we_go_the_more_tightly_we_des__p02.jpg,newdata,"The deeper we go, the more tightly we design the safety of underground Seoul",2.jpg,2
newdata__043_the_deeper_we_go_the_more_tightly_we_des__p03.jpg,newdata,"The deeper we go, the more tightly we design the safety of underground Seoul",3.jpg,3
newdata__043_the_deeper_we_go_the_more_tightly_we_des__p04.jpg,newdata,"The deeper we go, the more tightly we design the safety of underground Seoul",4.jpg,4
newdata__043_the_deeper_we_go_the_more_tightly_we_des__p05.jpg,newdata,"The deeper we go, the more tightly we design the safety of underground Seoul",5.jpg,5
newdata__043_the_deeper_we_go_the_more_tightly_we_des__p06.jpg,newdata,"The deeper we go, the more tightly we design the safety of underground Seoul",6.jpg,6
newdata__044_the_era_of_social_justice_and_fairness__p01.jpg,newdata,The era of social justice and fairness,1.jpg,1
newdata__044_the_era_of_social_justice_and_fairness__p02.jpg,newdata,The era of social justice and fairness,2.jpg,2
newdata__044_the_era_of_social_justice_and_fairness__p03.jpg,newdata,The era of social justice and fairness,3.jpg,3
newdata__044_the_era_of_social_justice_and_fairness__p04.jpg,newdata,The era of social justice and fairness,4.jpg,4
newdata__044_the_era_of_social_justice_and_fairness__p05.jpg,newdata,The era of social justice and fairness,5.jpg,5
newdata__044_the_era_of_social_justice_and_fairness__p06.jpg,newdata,The era of social justice and fairness,6.jpg,6
newdata__044_the_era_of_social_justice_and_fairness__p07.jpg,newdata,The era of social justice and fairness,7.jpg,7
newdata__044_the_era_of_social_justice_and_fairness__p08.jpg,newdata,The era of social justice and fairness,8.jpg,8
